mean	sd	cv	mean hk	sd hk	cv hk	ZT	expression ratio (goi/hk)
22.046	1.183600956	5.368753748	26.142	6.130812338	23.45173533	0	0.843312979
36.971	1.682622173	4.551194407	36.018	2.174798108	6.038162227	0	1.026471867
29.698	6.21192801	20.91713709	24.595	0.599575222	2.437829377	0	1.207490717
21.719	1.141130923	5.254085846	17.198	0.3577139	2.079956464	0	1.26286445
21.079	2.625627166	12.45619245	14.771	1.84860303	12.51474776	4	1.427007276
29.425	NA	NA	27.458	5.779424028	21.04817661	4	1.071615752
18.646	4.758275794	25.51936804	26.927	NA	NA	4	0.692445018
20.830	1.081619966	5.192590506	20.316	2.92672714	14.40595612	4	1.025298857
44.680	5.492314742	12.29243544	36.021	5.072017395	14.0805863	8	1.240387798
29.439	6.174397337	20.97320528	37.165	0.696111896	1.873051771	8	0.792137352
38.551	10.29159002	26.69622928	32.840	2.68744944	8.183483505	8	1.173898269
46.052	2.570788917	5.582301792	43.020	2.891928273	6.722365163	8	1.07050251
45.260	2.338303044	5.166324559	35.930	1.238444874	3.446841301	12	1.259690103
36.802	1.172563726	3.186167125	29.647	2.1741018	7.333208095	12	1.241315094
41.261	1.459140315	3.536381074	36.513	3.307868837	9.059371425	12	1.130024304
27.563	5.192048308	18.83669347	26.004	0.633689305	2.436903951	12	1.059976139
29.674	1.660765877	5.596778039	30.108	16.55888279	54.99755084	16	0.985559043
49.781	7.466127667	14.9979825	29.120	2.891468202	9.929526638	16	1.709514126
28.685	2.04274467	7.121361819	21.691	4.541761691	20.93842534	16	1.32242396
32.223	2.489857818	7.727044376	24.706	4.945679535	20.0181803	16	1.304246757
35.698	6.878539166	19.26895909	33.437	3.193804017	9.551656948	20	1.067599626
28.713	4.342107669	15.12226399	29.231	1.793878396	6.136997474	20	0.982305822
23.587	0.519763575	2.203563636	23.457	3.967810044	16.91522821	20	1.005558248
31.258	8.602415254	27.52101205	30.880	1.180487248	3.822831812	20	1.012231606
